loan_amount,person_income,credit_score,debt_to_income_ratio,employment_length,previous_defaults,default
2480,10000,627,0.2416,6,0,0
717,10000,646,0.222,1,0,0
2728,13674,616,0.3883,6,0,0
11371,29622,533,0.5118,6,0,0
11927,10000,570,0.5228,9,0,0
53802,33047,684,0.2313,2,0,0
5360,13219,592,0.4969,4,0,0
792,14079,628,0.3923,4,0,0
5479,27003,658,0.1755,20,0,0
22389,32715,671,0.2932,1,0,0
4367,10000,537,0.3841,0,0,0
14846,13034,610,0.7131,2,0,1
1806,10000,641,0.0862,7,0,0
9010,10000,507,0.2975,4,0,0
3549,10000,617,0.1566,5,0,0
3112,10000,633,0.2788,2,0,0
5876,41289,631,0.1358,1,0,0
4022,28561,614,0.0968,6,0,0
11862,27570,629,0.4366,4,0,0
2630,38239,585,0.6157,4,0,0
1068,10000,640,0.28,6,0,0
5096,10000,577,0.2765,4,0,0
6284,10000,725,0.5536,7,0,0
35655,10000,583,0.218,14,1,1
2371,16882,665,0.095,4,0,0
3898,14099,587,0.243,3,0,0
12363,10000,623,0.2501,5,0,0
12646,31493,595,0.2986,6,0,0
2048,21063,667,0.209,6,0,0
22168,38610,674,0.179,4,0,0
42556,90773,704,0.227,12,0,0
1049,10000,624,0.3947,3,0,0
4086,32634,629,0.4818,7,0,0
3404,11635,601,0.0945,6,0,0
20020,34823,542,0.6213,4,0,1
4470,16278,697,0.3473,5,0,0
44354,130344,659,0.3093,4,0,0
533,11841,585,0.182,3,0,0
67968,109522,721,0.4082,4,0,0
8880,13781,581,0.1172,5,0,0
8294,30792,586,0.348,2,0,0
3413,15123,630,0.2057,5,0,1
11290,10000,579,0.7145,2,0,0
1471,24691,599,0.5402,3,0,0
809,15682,649,0.2205,6,0,0
4395,10000,691,0.3779,8,0,0
3097,10000,607,0.2994,4,0,0
13383,12909,558,0.2933,11,0,0
971,10000,504,0.0627,5,0,0
3372,10000,536,0.4659,5,0,1
2097,12860,543,0.4212,8,0,0
47998,42199,657,0.5001,3,0,1
10406,37420,571,0.1123,13,0,0
1256,10000,584,0.1327,5,0,0
53557,70318,640,0.5848,3,0,0
7119,10000,597,0.2027,1,0,0
7190,21587,703,0.2203,2,0,0
61007,35470,617,0.4233,5,0,1
7829,10000,670,0.3375,4,0,1
3398,10000,664,0.3328,5,0,0
3649,10000,645,0.0494,1,0,0
5875,16839,544,0.2803,5,0,0
3829,10904,585,0.2865,4,0,0
14098,26973,594,0.2056,3,0,0
2140,10000,563,0.2211,3,0,0
13168,10000,620,0.2035,4,0,0
13241,10000,680,0.6546,5,0,0
4157,19366,755,0.2796,3,0,0
23450,27923,662,0.2772,10,0,0
6471,10013,595,0.3357,7,0,0
8730,11543,613,0.3826,5,0,0
1430,14958,632,0.2546,9,0,0
1533,10000,624,0.5417,5,1,1
4448,10000,582,0.2118,6,0,0
8836,13123,595,0.4173,4,0,0
1151,10000,555,0.1792,3,0,0
1090,10000,582,0.1776,7,0,0
8286,74345,690,0.34,7,0,0
10344,37739,549,0.2017,5,0,0
2628,21608,523,0.0989,8,0,0
11921,23930,670,0.3855,2,0,0
5005,52683,722,0.2994,3,0,0
3191,10000,569,0.0374,5,1,0
6263,10000,552,0.3341,3,0,0
2136,22555,564,0.2607,1,0,0
2751,10000,617,0.1495,8,0,0
23558,53454,676,0.3005,5,0,0
13070,22773,587,0.4071,3,0,1
3332,10000,568,0.1643,11,0,0
1459,16257,614,0.726,3,0,0
2022,10000,660,0.2527,4,0,0
2104,10037,638,0.034,2,0,0
1176,13121,621,0.2164,9,0,0
5664,27291,567,0.1219,4,0,0
31100,26037,657,0.4891,4,0,0
1076,10000,505,0.4839,4,0,0
22580,28395,675,0.1544,4,0,0
465,10000,614,0.3069,5,0,0
4094,10000,547,0.0734,4,0,0
10663,20917,636,0.4231,1,0,1
4824,10000,659,0.5952,4,0,0
3336,10000,686,0.2323,3,1,0
1647,40062,678,0.3959,5,0,1
30276,48095,744,0.4805,3,0,0
7191,10300,486,0.6951,1,0,0
14236,10000,561,0.6056,4,0,0
4922,11818,590,0.2078,14,0,0
6044,10000,571,0.1678,3,0,0
52915,117259,764,0.2066,6,0,0
337,10000,655,0.4746,5,1,0
23418,60607,605,0.2,4,0,0
1559,11895,625,0.6504,16,0,0
4138,48472,517,0.6862,3,0,1
34300,100390,659,0.0958,10,0,0
15462,29253,575,0.4903,6,0,0
31950,138121,769,0.2103,3,0,0
7574,10000,635,0.1722,5,0,0
34849,28673,570,0.1202,5,0,0
6894,10000,507,0.5835,4,1,1
1547,10000,652,0.2756,4,0,0
16584,10000,505,0.1522,2,0,0
2063,10000,561,0.2968,6,0,0
12697,10000,713,0.4943,4,0,0
5066,21097,603,0.2358,1,0,0
4077,10000,504,0.1131,7,0,0
7003,10000,673,0.5288,0,0,0
1349,10000,676,0.637,6,0,0
1912,10000,566,0.308,11,0,0
15295,84361,675,0.1481,3,0,0
203780,47586,640,0.1935,4,0,1
5443,50692,583,0.0577,3,0,0
2773,10000,545,0.6505,6,1,0
12669,10000,514,0.3071,5,0,1
586,10000,546,0.1747,7,0,0
1121,10000,721,0.0378,6,0,0
8262,10000,605,0.4992,7,0,0
3156,10000,564,0.4237,5,0,1
24149,32231,618,0.2534,3,0,0
2157,17680,557,0.5268,6,0,0
6360,28488,548,0.0688,5,0,0
9208,34770,656,0.3431,3,0,0
2251,10000,580,0.2356,7,0,0
3191,10000,520,0.3828,2,0,1
63621,52126,631,0.5791,1,0,1
1454,17411,652,0.1541,4,0,0
105634,43645,610,0.1284,11,0,0
2039,10000,585,0.1582,10,0,0
4513,18487,568,0.2488,5,0,0
1885,10000,679,0.4139,1,0,0
1588,10000,603,0.1631,6,0,1
3437,10000,639,0.2994,2,0,0
5671,10000,698,0.5295,4,0,0
423,11377,635,0.4985,8,0,0
1262,10000,618,0.3217,6,0,0
1664,11623,580,0.1661,19,0,0
27036,61707,677,0.2011,2,0,0
11270,25336,529,0.1754,4,0,0
2655,10000,485,0.4907,3,0,0
25640,49117,684,0.0906,4,2,1
1586,11585,608,0.0741,4,0,0
24085,59966,669,0.6111,1,0,0
210663,10000,635,0.1133,4,0,1
4209,25170,715,0.3393,6,0,0
6620,50349,662,0.4047,8,0,0
835,10216,610,0.0614,3,0,0
1220,10000,609,0.5316,4,0,0
23214,21846,741,0.5009,1,0,0
2678,10000,601,0.589,2,0,0
11071,10000,655,0.2239,4,0,0
77174,25763,687,0.1945,3,0,0
10330,39105,650,0.2327,3,0,0
2073,42735,559,0.3598,5,0,0
2744,14698,617,0.1609,5,0,0
4748,10000,622,0.3082,4,0,0
2876,16795,653,0.3279,6,0,0
1795,10000,593,0.1798,4,0,0
1179,10000,536,0.1335,5,0,0
2887,10000,613,0.0771,5,0,0
5381,60381,634,0.2823,6,1,0
19568,10000,650,0.6812,7,0,0
1015,10000,624,0.4226,5,0,0
3212,10000,587,0.1448,4,0,0
50010,17141,600,0.2726,9,0,1
1975,13373,548,0.3137,2,0,1
7486,14307,494,0.3691,3,0,0
2516,10000,631,0.1222,4,0,0
78977,12941,651,0.1883,5,0,1
3205,35864,558,0.2489,6,0,0
1894,10000,568,0.3588,9,0,0
29511,39822,632,0.4482,6,0,0
2334,10000,586,0.1352,4,0,0
2262,20966,614,0.04,3,0,0
5959,10425,616,0.4326,2,0,0
2658,26210,610,0.1903,3,0,0
7372,10000,530,0.4103,17,0,0
7437,57744,754,0.0945,6,0,0
3036,10000,592,0.2005,8,0,0
2497,10915,677,0.451,4,0,0
4280,10000,572,0.1786,5,1,0
5382,20783,626,0.1514,3,0,0
11431,10000,616,0.1205,1,0,0
5619,10180,615,0.3771,6,0,0
16856,10000,592,0.1275,5,0,0
1252,10000,550,0.6654,1,0,1
1762,21759,571,0.41,2,0,0
4877,10000,590,0.2125,2,0,0
14751,31083,763,0.3167,5,0,0
25444,11332,660,0.2476,8,0,0
65398,110294,676,0.5064,4,0,0
4873,10000,548,0.0219,3,0,0
1382,10000,624,0.1081,5,0,0
4073,10091,611,0.2563,5,0,0
11298,22192,645,0.0872,5,0,0
3745,10000,575,0.3223,2,0,0
2434,21426,605,0.6599,3,2,0
5001,20324,638,0.2816,5,0,0
5264,11394,691,0.3163,3,0,0
24201,10000,598,0.7862,3,0,1
12222,15817,545,0.6181,4,0,0
4777,14477,629,0.2255,16,0,0
2158,10000,599,0.243,2,0,0
2876,10000,580,0.182,8,0,0
1639,10000,561,0.319,7,0,0
866,10972,550,0.4557,8,0,1
2914,10000,644,0.1367,5,0,0
3742,11834,590,0.0672,4,0,0
2212,10000,623,0.1764,1,0,0
17232,14001,675,0.1892,3,0,0
6309,10000,632,0.3475,16,0,0
7930,34044,548,0.3988,1,0,0
2299,10000,531,0.2674,7,2,1
3505,10000,641,0.3743,5,0,0
6520,44281,605,0.4095,5,0,0
9653,10000,511,0.0623,4,0,0
4274,19985,610,0.4055,3,0,0
581,10000,596,0.3472,5,0,0
12951,19242,600,0.2174,4,0,0
3691,10000,631,0.205,2,0,0
5759,24334,650,0.3672,11,0,0
8535,14229,751,0.2665,3,0,0
4218,10542,504,0.1098,2,0,0
92836,55116,695,0.1597,3,0,0
38913,55150,564,0.4231,2,0,0
3610,10000,584,0.2382,3,0,0
7565,33166,556,0.2731,4,0,0
11933,83666,713,0.1039,5,0,0
2070,10000,544,0.5554,3,0,0
3369,10000,643,0.2206,5,0,0
922,10000,650,0.4533,4,0,0
5026,19911,588,0.2474,2,0,0
1382,16292,590,0.4009,7,0,0
145997,53608,589,0.2444,5,0,1
1574,10000,582,0.1218,2,0,0
9660,10000,583,0.3818,4,0,0
5801,10000,597,0.2039,3,0,0
83616,40116,676,0.1894,2,0,0
11257,35247,651,0.612,1,0,0
2987,11850,644,0.2905,1,0,0
15859,20457,655,0.5226,14,0,0
22186,18085,581,0.1737,3,0,1
5501,10000,609,0.1589,3,3,1
1425,19471,564,0.1941,4,0,0
6265,10000,574,0.0435,2,0,0
194118,124889,706,0.1382,2,0,0
40192,58693,690,0.0715,9,0,0
3044,11959,597,0.2012,3,3,1
1100,27874,681,0.1082,8,0,0
15329,120269,607,0.338,6,0,0
10448,11570,581,0.2211,2,0,0
3311,10000,545,0.3095,4,0,0
8167,18842,538,0.4451,3,0,0
10880,52478,610,0.2469,3,1,0
637,10000,606,0.3086,2,0,0
1060,11483,563,0.3818,6,0,0
1029,10000,574,0.4351,6,0,0
1764,14895,605,0.1721,3,0,0
12128,10000,649,0.3319,3,0,0
2149,10000,662,0.1315,6,0,0
51064,207876,720,0.2612,2,0,0
2140,10000,640,0.4957,1,0,0
1343,10000,551,0.0619,5,0,0
1438,26058,578,0.4334,5,0,0
2309,10000,594,0.1519,8,0,0
15733,25474,698,0.3329,2,0,0
14245,39044,623,0.3825,4,0,0
34448,26948,572,0.2447,0,1,1
2554,10000,649,0.0813,16,0,0
6884,10000,650,0.3264,13,1,0
13271,65375,628,0.2973,5,1,0
10723,14762,597,0.6829,3,1,0
22495,46346,659,0.0455,7,0,0
11631,26078,628,0.2583,2,0,0
11360,10000,610,0.4858,6,0,0
2383,12608,704,0.504,6,0,0
23848,10000,607,0.1634,5,0,0
561,11169,593,0.2014,9,0,0
8332,10000,542,0.3365,4,0,0
8804,42609,588,0.4148,6,1,0
2019,26002,549,0.3192,4,0,0
8322,50144,622,0.2683,7,0,0
15770,36797,696,0.3509,6,0,0
2143,10000,649,0.0607,4,0,0
6030,10000,581,0.5828,9,0,0
9532,10000,530,0.2249,3,0,0
10723,48421,566,0.4458,5,0,0
4795,21593,646,0.314,6,0,0
24183,15085,676,0.3652,5,0,0
5521,38744,579,0.3166,3,0,0
5957,10000,520,0.4347,2,0,0
8361,10132,587,0.1662,5,0,1
3921,52667,709,0.2264,3,0,0
31836,10000,587,0.4382,3,0,1
19875,10000,586,0.6015,7,0,1
28380,49200,696,0.1513,1,0,0
3788,11332,640,0.0313,3,0,0
545,10000,623,0.4142,8,0,0
1506,10000,617,0.1934,4,0,0
60358,71647,693,0.0892,3,0,0
2609,21977,599,0.4445,1,0,0
9651,15660,507,0.1797,3,0,0
2303,10000,570,0.3266,9,0,0
13458,10000,580,0.3987,3,0,0
10309,14938,580,0.2111,3,0,0
5362,10000,613,0.1622,1,0,0
61337,130854,678,0.3125,11,0,0
7363,24168,623,0.2193,7,0,0
6659,10937,574,0.3618,4,0,0
2278,10000,633,0.4381,3,0,0
10267,10000,629,0.3861,2,0,0
76211,136341,696,0.2781,2,0,0
1103,14438,709,0.3176,4,1,0
37690,90176,666,0.1186,6,0,0
4087,10000,608,0.5319,6,0,0
2035,10000,627,0.4791,3,0,0
1382,23874,705,0.1196,2,0,0
6814,14933,654,0.342,6,0,0
333930,825632,675,0.1256,1,0,0
7522,10220,568,0.3089,2,0,0
27409,32756,685,0.1654,2,0,0
6607,10000,555,0.4624,5,0,0
6172,15331,667,0.2071,3,0,0
20158,10000,498,0.655,4,0,1
141045,54308,711,0.4495,4,0,0
3462,11400,615,0.3462,2,0,0
1702,21270,585,0.1739,5,0,0
18229,35905,620,0.2706,3,0,0
44794,23389,600,0.1388,4,0,0
14846,19420,622,0.1024,5,0,0
3560,13218,521,0.5955,5,0,1
33215,59073,648,0.4571,3,0,0
19352,24207,629,0.375,2,0,0
21391,21575,709,0.5947,13,0,0
2688,16391,615,0.4046,5,0,0
7632,10000,588,0.2671,10,0,0
5706,10000,617,0.2841,4,0,0
2447249,375388,702,0.4023,1,0,1
44641,36589,583,0.4951,4,0,0
5365,10000,602,0.1332,4,0,0
1191,10000,590,0.1207,2,0,0
3980,10000,602,0.4786,1,0,0
12061,10000,572,0.7291,3,0,1
2343,10000,662,0.1469,5,0,0
296115,21460,493,0.4265,12,0,1
1424,10000,660,0.4433,3,0,0
5279,10000,622,0.4078,9,0,0
55007,10000,600,0.6557,5,0,1
2741,10000,565,0.6267,4,0,0
3684,12923,611,0.4447,1,0,0
6310,17082,624,0.0534,6,0,0
13097,17774,584,0.2351,3,0,0
186449,48645,680,0.1863,2,0,1
35093,51674,673,0.4524,3,1,0
72394,32676,744,0.121,2,0,0
3710,10000,595,0.2744,3,0,0
6151,10000,520,0.3085,2,0,0
11531,18254,618,0.0435,3,0,0
2136,19187,558,0.3623,4,0,0
2082,10000,548,0.0948,5,0,0
8347,20970,609,0.2154,14,0,0
776,10000,533,0.1402,3,0,0
470,10000,569,0.0896,13,0,0
14390,14326,604,0.4775,4,0,0
15040,22347,557,0.1828,3,2,0
65542,94970,691,0.2545,0,0,0
230060,117472,720,0.3459,6,0,0
21621,10325,584,0.3527,2,0,0
9738,29745,648,0.3575,4,0,0
3784,15297,598,0.4275,4,0,0
7876,25807,674,0.0527,4,0,0
7202,10000,548,0.1745,3,0,0
11235,10000,525,0.2785,6,0,0
29037,23680,609,0.6121,2,0,0
110115,20350,656,0.3489,3,0,1
19139,10000,520,0.3277,4,0,0
15503,22703,598,0.158,5,0,0
2232,10000,615,0.1629,5,0,0
933,10607,558,0.4542,4,0,0
75353,20505,593,0.3207,5,0,1
3265,10000,604,0.1283,3,0,0
18551,10000,526,0.1667,2,0,0
8837,24154,577,0.0758,2,0,0
8863,10000,601,0.3567,6,1,1
16912,57615,689,0.5661,2,1,0
1278,10000,518,0.199,7,0,0
851,10000,623,0.2021,3,0,0
36722,26668,689,0.1909,5,0,0
2488,10000,545,0.4574,2,0,1
28503,21603,694,0.4667,7,1,0
2890,11021,704,0.2293,9,0,0
16280,10000,560,0.4568,3,0,0
14151,14939,495,0.2192,2,0,0
1663,10000,724,0.434,7,0,0
2808,21065,700,0.1232,7,0,0
2725,24353,546,0.4833,3,0,1
2751,24232,571,0.2593,6,1,0
53961,14554,684,0.0733,8,0,0
5264,10000,582,0.3674,3,0,0
1036,10000,602,0.473,4,0,0
17930,16144,564,0.2899,3,0,0
15739,10000,586,0.4274,8,0,0
2155,20292,607,0.2607,5,0,0
2756,10000,485,0.2943,5,0,0
2670,12249,648,0.4352,3,0,0
68998,10000,640,0.2854,12,0,1
48495,58594,660,0.6297,10,1,1
44623,65383,676,0.26,1,0,0
256714,23221,594,0.4388,8,0,1
6084,10094,684,0.2205,6,0,0
36539,33037,555,0.2678,3,0,0
8435,14588,644,0.096,6,0,0
9853,10000,546,0.2856,4,0,1
3399,10000,655,0.0688,4,0,0
2547,14531,627,0.21,2,0,0
8273,15293,605,0.3601,2,0,0
1535,10000,655,0.1006,4,0,0
475,10000,525,0.3566,5,0,0
19931,29239,593,0.6916,4,0,0
3517,10000,554,0.2985,5,0,1
36348,35707,593,0.154,3,0,0
13201,29363,640,0.137,3,0,0
13241,12587,630,0.3785,4,0,0
34016,149598,655,0.0932,5,0,0
86810,24293,595,0.2447,2,1,1
161863,63823,669,0.4574,3,0,1
19821,50385,620,0.7923,7,0,0
41825,10000,607,0.1728,5,0,0
126468,10000,695,0.1009,7,0,1
1350,10000,631,0.4771,2,0,0
18010,25857,601,0.3263,4,0,0
23434,17973,625,0.1965,3,0,0
2714,10000,609,0.2276,3,0,0
501,10000,532,0.2941,5,0,0
364965,15179,552,0.2824,14,0,1
2033,80317,612,0.3408,1,0,0
13779,10000,550,0.2178,9,0,0
1787,10000,629,0.4829,5,0,0
2589,10000,589,0.0857,2,0,0
9765,48181,554,0.3867,0,0,0
5505,22671,668,0.3968,3,0,0
10824,10000,631,0.4255,4,0,0
2171,16565,660,0.6518,7,0,0
13021,25182,739,0.6767,5,0,0
22325,23693,644,0.2832,9,0,0
11487,17107,590,0.7031,8,0,1
19765,15024,627,0.2453,5,0,0
2865,10000,595,0.068,11,0,0
6598,10000,568,0.3222,4,0,1
1506,26013,639,0.3273,4,0,0
28554,15219,568,0.34,4,0,0
43324,52182,746,0.1698,4,1,0
4089,10000,570,0.3703,4,0,0
12540,41940,578,0.3781,6,0,0
24659,116299,719,0.2165,2,2,0
1373,10370,552,0.2933,5,0,0
3095,10000,640,0.0257,6,0,0
5706,27176,626,0.1424,6,0,0
2481,10000,510,0.11,2,0,0
1628,10000,582,0.2736,5,0,0
9449,23278,628,0.4427,1,0,0
11264,19451,614,0.5624,3,0,0
8172,16286,625,0.1153,4,0,0
14970,33285,586,0.2141,4,0,0
9434,12667,519,0.2129,5,0,1
7318,10000,638,0.1609,8,0,0
4192,11987,588,0.2011,3,0,0
5969,10000,653,0.2506,2,0,0
1929,10000,737,0.5192,4,0,0
6196,10000,598,0.2674,7,0,0
4230,10000,632,0.1978,8,0,0
9412,15292,630,0.3062,4,0,0
4733,15699,496,0.4408,2,0,0
7851,21312,642,0.8393,2,0,0
18024,15290,640,0.4262,4,1,0
12488,17416,668,0.2729,1,0,0
24148,10000,649,0.3296,3,0,1
18238,38263,562,0.2682,4,0,0
2684,10000,600,0.4264,8,0,1
12746,10000,664,0.1301,2,0,0
105078,91388,660,0.2396,4,0,0
1549,10000,639,0.055,5,0,0
2691,27877,574,0.1412,3,0,0
3475,10000,607,0.4686,3,0,0
30970,149608,672,0.1828,3,0,0
3091,10000,548,0.0868,3,0,0
96945,22912,660,0.4516,7,0,1
7665,25713,647,0.4102,4,0,0
15290,63810,594,0.208,5,0,0
64922,102488,622,0.1175,5,0,0
7476,23632,639,0.3412,9,1,0
32813,22731,525,0.1863,3,0,0
34031,76505,670,0.1976,4,0,0
13791,10000,595,0.2014,10,0,0
4137,14739,565,0.1519,12,0,0
7542,10000,601,0.4247,6,0,0
7701,10000,588,0.184,6,0,0
2697,16274,574,0.367,4,0,0
1792,10000,553,0.2479,1,0,0
5901,10000,596,0.354,7,0,0
2937,12083,660,0.0606,2,0,0
7556,18624,665,0.4412,3,0,0
15938,25172,694,0.4854,2,0,0
777,10000,552,0.4647,3,0,1
2414,11891,591,0.4026,4,0,0
7030,17211,626,0.5594,12,0,1
561,10000,576,0.3583,5,0,0
7417,10371,536,0.3811,2,0,0
16386,17123,594,0.2318,4,0,0
3852,15228,590,0.2067,3,0,0
17694,40080,738,0.3679,8,0,0
5334,10029,595,0.1745,2,0,0
927,10000,546,0.4069,5,0,0
1026,10000,612,0.1544,7,0,0
2289,11267,634,0.4057,5,0,0
5178,10000,619,0.1386,3,0,0
14369,28108,649,0.0669,4,0,0
122944,65958,667,0.4764,3,0,1
3362,18121,550,0.4493,3,0,0
1670,10000,563,0.2858,5,0,0
7285,10000,558,0.2671,7,0,0
97407,20348,690,0.3941,5,0,1
7711,11703,656,0.1978,6,0,1
12000,20294,615,0.8171,3,0,0
5844,15501,611,0.2685,5,0,0
8479,10123,616,0.2741,11,0,0
615,10000,566,0.4236,3,0,0
2418,29617,656,0.2361,5,0,0
11913,10000,631,0.4641,4,0,0
2764,10000,690,0.4845,2,0,0
9102,34254,651,0.2089,3,0,0
5527,10000,528,0.2149,5,0,0
31409,92304,669,0.205,5,0,0
7095,15702,682,0.6469,1,0,0
2527,10018,564,0.5523,5,0,0
5963,10000,551,0.3759,6,0,1
23038,37423,633,0.5126,7,0,0
1955,10000,548,0.1984,2,0,0
21575,10000,682,0.2218,5,0,0
1188,10000,529,0.3524,8,0,0
181009,62249,682,0.3861,4,0,1
4301,10000,498,0.0897,0,0,0
1040,10000,554,0.1023,5,0,0
17032,29448,604,0.4834,8,0,0
3102,10000,579,0.6183,1,0,0
1653,10000,580,0.4516,1,0,0
1542,10000,616,0.2943,7,0,0
9423,19340,647,0.3679,3,0,0
37828,14350,655,0.3853,2,0,1
6231,10000,653,0.1601,3,0,0
7841,32456,578,0.0694,5,0,0
1353,13592,510,0.2245,4,0,0
4837,32442,691,0.4144,3,0,0
785955,93281,622,0.4053,4,0,1
4937,13672,675,0.2517,5,0,0
2917,10000,624,0.2899,2,0,0
3319,33913,647,0.3879,6,0,0
53873,13562,584,0.0523,7,0,1
6853,12358,610,0.1458,6,0,0
2754,12695,687,0.2619,10,0,0
5703,48862,673,0.0873,3,0,0
687,10000,604,0.5512,2,0,0
9914,57560,638,0.2224,4,0,0
23312,31609,680,0.3287,3,0,0
31386,10303,581,0.3783,1,0,1
3924,18349,599,0.1902,3,0,0
11424,23651,560,0.1532,9,0,0
2838,10000,603,0.6595,3,0,0
1039,10000,537,0.2424,3,0,0
8165,35743,589,0.4959,10,0,0
2208,10000,534,0.4039,3,0,0
18338,10000,645,0.461,1,0,0
821,10000,546,0.1959,4,0,0
937,10000,579,0.3355,5,0,0
3050,30762,669,0.543,11,0,0
1228,10000,563,0.2802,4,0,0
7979,23644,597,0.3722,4,0,0
9595,35292,688,0.3564,2,0,0
362,10000,630,0.2286,8,0,0
2038,10000,548,0.2856,9,0,0
35438,59172,681,0.2263,1,0,0
2421,10000,555,0.3951,4,0,0
9226,92692,647,0.1387,0,0,0
13406,49802,692,0.2121,3,0,0
536,10000,675,0.4827,5,0,0
53663,12976,567,0.0345,5,0,1
27423,56613,667,0.1774,3,0,0
711,13010,615,0.3603,2,3,1
4697,10000,611,0.1786,7,0,0
3245,10000,697,0.1027,4,0,0
1877,16667,701,0.2063,2,0,0
27278,51612,564,0.2158,1,0,1
3479,10000,506,0.1994,3,0,0
8285,22473,606,0.6171,5,0,0
10298,20248,556,0.218,2,0,0
2190,24791,621,0.6751,2,0,0
1580,10000,657,0.3479,5,0,0
85351,112579,626,0.3288,3,0,0
3349,10000,544,0.4513,8,0,0
3826,11302,679,0.1901,2,0,0
2217,10000,684,0.5307,4,0,0
15251,13521,646,0.5649,3,0,0
13997,20752,671,0.3947,3,0,0
82222,115125,661,0.468,7,0,0
11805,10000,588,0.1753,3,1,0
22784,10000,613,0.0916,6,0,1
1804,15600,582,0.3215,2,0,0
612,11047,647,0.1146,1,0,0
4089,15771,621,0.1766,7,0,0
2005,10000,513,0.5255,2,0,0
6153,10000,485,0.0972,6,0,0
29296,10000,583,0.4372,5,0,1
538,10335,482,0.2552,5,1,0
108892,48070,602,0.1408,14,0,0
3106,10000,529,0.3379,4,0,0
16142,32999,575,0.463,8,0,0
647,10000,509,0.2164,7,0,0
2365,15796,588,0.1552,7,0,0
4582,10000,572,0.473,2,0,1
4725,29489,625,0.2835,5,0,0
3017,10000,576,0.4309,4,0,0
5598,18789,669,0.2108,5,0,0
2571,10000,665,0.1971,3,1,0
1049,10000,596,0.1432,5,0,0
5730,16414,592,0.2386,4,0,0
4772,36401,566,0.2175,4,0,0
1380,10000,581,0.6187,2,0,0
825,13583,633,0.2694,8,0,0
81235,41853,624,0.5311,6,0,0
6200,10000,615,0.2161,2,0,0
1807,13045,616,0.5509,1,0,0
180536,27451,623,0.3983,3,0,1
5005,23043,670,0.1583,4,0,0
3639,16184,612,0.3533,12,0,0
5147,16562,558,0.2991,5,0,0
3820,10104,666,0.4285,8,0,0
5259,13356,567,0.1101,6,0,0
23043,49090,704,0.1631,4,0,0
23082,10000,583,0.4066,3,0,0
4400,10163,570,0.1791,3,0,0
3730,23042,690,0.4692,3,0,0
36166,15525,598,0.5711,3,0,1
2307,11819,789,0.6525,10,0,0
80742,64317,660,0.4046,4,0,0
3907,10000,651,0.1501,6,0,0
5933,10000,622,0.2155,6,0,0
21091,34997,652,0.4338,8,0,0
1739,10000,633,0.6062,4,0,1
64199,116778,765,0.3359,3,0,0
1626,10000,554,0.1168,7,0,1
22363,22571,682,0.3127,6,0,0
3287,12292,545,0.2559,13,0,0
5337,10000,588,0.1377,3,0,0
223074,70115,656,0.2939,4,0,1
6000,13364,533,0.1943,5,1,0
10609,34404,716,0.245,10,0,0
1420,10000,649,0.6795,7,1,0
2814,10000,722,0.0552,4,0,0
20665,43720,684,0.6647,6,0,0
2329,14196,581,0.2332,3,0,0
3431,10000,557,0.4767,3,0,1
2961,14725,653,0.3206,8,0,0
2095,10000,570,0.361,2,0,0
4850,61741,672,0.448,2,0,0
